Intials,Date,Course_ID,Time(m),summary
BG,1/9/23,BUSA-203-01,10,Read power point slides
BG,1/9/23,MATH-205-ON,30,Worked on chapter hw
BG,1/9/23,ACCT-102-01,10,Reviewed Syllabus
BG,1/10/23,MATH-205-ON,90,Worked on chapter hw
BG,1/11/23,CHEM-109-ON,50,Lecture Notes
BG,1/12/23,MATH-205-ON,40,Worked Chapter Hw
BG,1/13/23,ACCT-102-01,20,Powepoint review
BG,1/14/23,BUSA-203-01,25,Online Quiz
BG,1/14/23,CHEM-109-ON,50,Lecture Notes
BG,1/16/23,CHEM-109-ON,35,Virtual Lab
BG,1/17/23,ACCT-102-01,20,Chapter Hw
BG,1/18/23,MATH-205-ON,30,Worked Chapter Hw
BG,1/19/23,CHEM-109-ON,50,Lecture Notes
BG,1/20/23,CHEM-109-ON,30,Lecture Notes
BG,1/21/23,CHEM-109-ON,60,Virtual Lab
BG,1/23/23,BUSA-203-01,15,Online Quiz
BG,1/23/23,DS-160-01,40,Individual Project #2
BG,1/24/23,CHEM-109-ON,50,Lecture Notes
BG,1/25/23,ACCT-102-01,30,Reading Textbook
BG,1/26/23,ACCT-102-01,40,Study for Quiz
BG,1/28/23,CHEM-109-ON,50,Lecture Notes
BG,1/29/23,BUSA-203-01,30,Powepoint review
BG,1/29/23,DS-160-01,20,Individual Project #3
BG,1/30/23,CHEM-109-ON,45,Online Exam
BG,2/3/23,BUSA-203-01,30,Take home Exam
BG,2/3/23,MATH-205-ON,60,Chapter Hw
BG,2/5/23,MATH-205-ON,45,Chapter Hw
,,,,
,,,,
,,,,